,Q No,Name,Question,Answer,Answer Smash
0,1,Mo Hassn,Which mammal has the latin name panthera uncia?,snow leopard,mo hassnow leopard
1,2,Kelly Gilbert,Name the famous Sesame Street duo.,bert and ernie,kelly gilbert and ernie
2,3,Arsene,What are joules or therms an example of?,energy units,arsenergy units
3,4,Nicolas Mieszaly,What parts of the body contain immune cells to help fight infection?,lymph nodes,nicolas mieszalymph nodes
4,5,Amalia García-Vellido Santías,Which branch of space science applies the laws of physics and chemistry to explain objects in the universe?,astrophysics,amalia garcía-vellido santíastrophysics
5,6,Owen Barnes,What's the name of the American bookseller founded in 1886?,barnes & noble,owen barnes & noble
6,7,Simon Evans,Which British cycle retailer was founded in 1921?,evans cycles,simon evans cycles
7,8,Donna Coles,Which side dish consists mainly of shredded raw cabbage?,coleslaw,donna coleslaw
8,9,Will Sutton,"Who is the a genius, billionaire, playboy, philanthropist who suits up as Iron Man?",tony stark,will suttony stark
9,10,Shahzad Zia,Which animal is frequently confused with the anteater?,aardvark,shahzad ziaardvark
10,11,Nik Eveleigh,What's another word for a pickled cucumber?,gherkin,nik eveleigherkin
11,12,Jorge Supelano,Who's the main antagonist in the film Psycho?,norman bates,jorge supelanorman bates
12,13,Tom Prowse,In which fish species is it the males who get pregnant?,seahorse,tom prowseahorse
13,14,Carl Allchin,Which rodents are slightly larger than squirrels and can travel at speeds of up to 15 mph?,chinchilla,carl allchinchilla
14,15,Jonathan Allenby,Which British burger chain was founded in 2007?,byron burgers,jonathan allenbyron burgers
15,16,Rosario Gauna,What's the japanese word for freshwater eel?,unagi,rosario gaunagi
16,17,Pat Lucas,"Which ghost is often criticised by his 3 wicked uncles, the Ghostly Trio?",casper the friendly ghost,pat lucasper the friendly ghost
17,18,Michael Heighway,Which American company selling furniture was founded in 2002?,wayfair,michael heighwayfair
18,19,Kate Brown,Which animal has the latin name Ursus arctos?,brown bear,kate brown bear
19,20,Vivien Ho,Which condiment is mostly made from chilli peppers?,hot sauce,vivien hot sauce
